sample_id;temp
B1;18
B10;26.8
B6;12
B7;35
B8;25
B9;30
F10;26.8
F6;12
F7;35
F8;25
F9;30
G1;18
G10;26.8
G6;12
G7;35
G8;25
G9;30
H1;18
H10;26.8
H6;12
H7;35
H8;25
H9;30
