"Gene"
"Porites_compressa_HIv1___RNAseq.g3874.t1"
"Porites_compressa_HIv1___RNAseq.g28090.t1a"
"Porites_compressa_HIv1___RNAseq.g28274.t1b"
"Porites_compressa_HIv1___RNAseq.g10657.t1"
"Porites_compressa_HIv1___RNAseq.g18190.t1"
"Porites_compressa_HIv1___RNAseq.g28934.t1"
"Porites_compressa_HIv1___RNAseq.g17218.t2"
"Porites_compressa_HIv1___RNAseq.g16156.t1"
"Porites_compressa_HIv1___RNAseq.g17380.t1"
"Porites_compressa_HIv1___RNAseq.g14327.t2b"
"Porites_compressa_HIv1___RNAseq.g15722.t1"
"Porites_compressa_HIv1___TS.g23426.t1"
"Porites_compressa_HIv1___RNAseq.g36285.t1"
"Porites_compressa_HIv1___TS.g4867.t1"
"Porites_compressa_HIv1___RNAseq.g24122.t1"
"Porites_compressa_HIv1___RNAseq.g10188.t1"
"Porites_compressa_HIv1___TS.g17488.t1"
"Porites_compressa_HIv1___RNAseq.g24869.t1"
"Porites_compressa_HIv1___RNAseq.g31683.t1"
"Porites_compressa_HIv1___RNAseq.g23187.t1"
"Porites_compressa_HIv1___TS.g25115.t1"
"Porites_compressa_HIv1___TS.g12080.t1a"
"Porites_compressa_HIv1___RNAseq.g7700.t1"
"Porites_compressa_HIv1___TS.g27336.t1"
"Porites_compressa_HIv1___RNAseq.g13882.t1"
"Porites_compressa_HIv1___RNAseq.g9841.t1"
"Porites_compressa_HIv1___RNAseq.g25677.t1"
"Porites_compressa_HIv1___TS.g3441.t1"
"Porites_compressa_HIv1___RNAseq.g25748.t1"
"Porites_compressa_HIv1___RNAseq.g2936.t1"
"Porites_compressa_HIv1___RNAseq.g38588.t1"
"Porites_compressa_HIv1___RNAseq.g23028.t1"
"Porites_compressa_HIv1___RNAseq.g32467.t1"
"Porites_compressa_HIv1___RNAseq.g29584.t1"
"Porites_compressa_HIv1___RNAseq.g17936.t1"
"Porites_compressa_HIv1___RNAseq.g34558.t1"
"Porites_compressa_HIv1___RNAseq.g6738.t1"
"Porites_compressa_HIv1___RNAseq.g37159.t1"
"Porites_compressa_HIv1___RNAseq.g10009.t1"
"Porites_compressa_HIv1___RNAseq.g14857.t2"
"Porites_compressa_HIv1___TS.g36664.t1"
"Porites_compressa_HIv1___RNAseq.g23116.t1"
"Porites_compressa_HIv1___RNAseq.g18429.t1"
"Porites_compressa_HIv1___RNAseq.g22441.t1"
"Porites_compressa_HIv1___RNAseq.g30565.t1"
"Porites_compressa_HIv1___RNAseq.g30626.t1"
"Porites_compressa_HIv1___RNAseq.g36729.t1"
"Porites_compressa_HIv1___RNAseq.g15149.t1"
"Porites_compressa_HIv1___RNAseq.g5484.t1"
"Porites_compressa_HIv1___RNAseq.g41069.t1"
"Porites_compressa_HIv1___RNAseq.g41367.t1"
"Porites_compressa_HIv1___RNAseq.g11483.t1"
"Porites_compressa_HIv1___RNAseq.g7670.t1"
"Porites_compressa_HIv1___RNAseq.g23408.t1"
"Porites_compressa_HIv1___TS.g29361.t1"
"Porites_compressa_HIv1___RNAseq.g37919.t1"
"Porites_compressa_HIv1___RNAseq.g33645.t1"
"Porites_compressa_HIv1___RNAseq.g12037.t1b"
"Porites_compressa_HIv1___RNAseq.g37566.t1"
"Porites_compressa_HIv1___TS.g2720.t1"
"Porites_compressa_HIv1___RNAseq.g16609.t1"
"Porites_compressa_HIv1___RNAseq.g20751.t2"
"Porites_compressa_HIv1___RNAseq.g28907.t1"
"Porites_compressa_HIv1___RNAseq.g15205.t1"
"Porites_compressa_HIv1___RNAseq.g12134.t1"
"Porites_compressa_HIv1___RNAseq.g12647.t1"
"Porites_compressa_HIv1___RNAseq.g38440.t1a"
"Porites_compressa_HIv1___TS.g22638.t1"
"Porites_compressa_HIv1___RNAseq.g20794.t1"
"Porites_compressa_HIv1___RNAseq.g18960.t1"
"Porites_compressa_HIv1___RNAseq.g6153.t1"
"Porites_compressa_HIv1___TS.g13316.t1"
"Porites_compressa_HIv1___RNAseq.g35324.t1"
"Porites_compressa_HIv1___RNAseq.g4709.t1"
"Porites_compressa_HIv1___RNAseq.g6680.t1"
"Porites_compressa_HIv1___RNAseq.g28861.t1b"
"Porites_compressa_HIv1___RNAseq.g20194.t1"
"Porites_compressa_HIv1___RNAseq.g9421.t1"
"Porites_compressa_HIv1___TS.g10140.t1"
"Porites_compressa_HIv1___RNAseq.g20523.t1"
"Porites_compressa_HIv1___RNAseq.g10965.t1"
"Porites_compressa_HIv1___TS.g29252.t1"
"Porites_compressa_HIv1___RNAseq.g13715.t1"
"Porites_compressa_HIv1___RNAseq.g26392.t1"
"Porites_compressa_HIv1___RNAseq.g29332.t1"
"Porites_compressa_HIv1___RNAseq.g33198.t1"
"Porites_compressa_HIv1___TS.g23160.t1"
"Porites_compressa_HIv1___RNAseq.g5044.t1b"
"Porites_compressa_HIv1___TS.g33065.t1"
"Porites_compressa_HIv1___TS.g26204.t1"
"Porites_compressa_HIv1___TS.g1058.t2"
"Porites_compressa_HIv1___RNAseq.g37051.t1"
"Porites_compressa_HIv1___RNAseq.g40608.t1"
"Porites_compressa_HIv1___RNAseq.g17570.t1"
"Porites_compressa_HIv1___RNAseq.g26132.t1"
"Porites_compressa_HIv1___RNAseq.g24442.t1"
"Porites_compressa_HIv1___RNAseq.39026_t"
"Porites_compressa_HIv1___RNAseq.g33781.t1"
"Porites_compressa_HIv1___RNAseq.g40278.t1"
"Porites_compressa_HIv1___RNAseq.g15676.t1"
"Porites_compressa_HIv1___RNAseq.g20998.t1"
"Porites_compressa_HIv1___TS.g17970.t1"
"Porites_compressa_HIv1___RNAseq.g30364.t2"
"Porites_compressa_HIv1___RNAseq.g360.t1"
"Porites_compressa_HIv1___RNAseq.g37440.t1"
"Porites_compressa_HIv1___RNAseq.g3568.t1"
"Porites_compressa_HIv1___TS.g38848.t1"
"Porites_compressa_HIv1___RNAseq.g16237.t1"
"Porites_compressa_HIv1___RNAseq.g22009.t1"
"Porites_compressa_HIv1___RNAseq.g9629.t1"
"Porites_compressa_HIv1___RNAseq.g18938.t1"
"Porites_compressa_HIv1___TS.g4264.t1"
"Porites_compressa_HIv1___TS.g1403.t1"
"Porites_compressa_HIv1___RNAseq.g20271.t1"
"Porites_compressa_HIv1___RNAseq.g39540.t1"
"Porites_compressa_HIv1___TS.g29326.t1"
"Porites_compressa_HIv1___TS.g30962.t1"
"Porites_compressa_HIv1___TS.g5673.t1"
"Porites_compressa_HIv1___RNAseq.g21645.t1"
"Porites_compressa_HIv1___RNAseq.g19229.t1"
"Porites_compressa_HIv1___RNAseq.g15717.t1"
"Porites_compressa_HIv1___TS.g25380.t1"
"Porites_compressa_HIv1___RNAseq.g10607.t1"
"Porites_compressa_HIv1___RNAseq.g4937.t1"
"Porites_compressa_HIv1___RNAseq.g30260.t2"
"Porites_compressa_HIv1___TS.g4365.t3"
"Porites_compressa_HIv1___TS.g19909.t1"
"Porites_compressa_HIv1___RNAseq.g38855.t1"
"Porites_compressa_HIv1___RNAseq.g23117.t1"
"Porites_compressa_HIv1___RNAseq.g7968.t1"
"Porites_compressa_HIv1___TS.g6072.t1"
"Porites_compressa_HIv1___RNAseq.g30493.t1"
"Porites_compressa_HIv1___RNAseq.g341.t1"
"Porites_compressa_HIv1___RNAseq.g13953.t1"
"Porites_compressa_HIv1___TS.g25389.t1a"
"Porites_compressa_HIv1___RNAseq.g39944.t1"
"Porites_compressa_HIv1___RNAseq.g5023.t1"
"Porites_compressa_HIv1___RNAseq.g13345.t1"
"Porites_compressa_HIv1___RNAseq.g36600.t1"
"Porites_compressa_HIv1___TS.g36773.t1"
"Porites_compressa_HIv1___RNAseq.g48.t1"
"Porites_compressa_HIv1___RNAseq.g29658.t1"
"Porites_compressa_HIv1___RNAseq.g10347.t1"
"Porites_compressa_HIv1___RNAseq.g24160.t1"
"Porites_compressa_HIv1___TS.g40693.t1"
"Porites_compressa_HIv1___RNAseq.g3088.t1"
"Porites_compressa_HIv1___RNAseq.g38764.t1"
