"gene_ref","gene_id","gene_name","condition_1","condition_2","gene_switch_q_value","combinedDIF","switchConsequencesGene","Rank"
"geneComp_00040124","Porites_compressa_HIv1___RNAseq.g20666.t1",NA,"control","t30",4.36943788830673e-09,1.86365,TRUE,10
"geneComp_00041600","Porites_compressa_HIv1___RNAseq.g22696.t1",NA,"control","t30",0.031928690933635,1.68545,TRUE,20
"geneComp_00036600","Porites_compressa_HIv1___RNAseq.g15812.t1",NA,"control","t30",0.00322175357956167,1.6838,TRUE,21
"geneComp_00014748","MSTRG.36880",NA,"control","t30",2.41369845826352e-05,1.651725,TRUE,27
"geneComp_00000965","MSTRG.11874",NA,"control","t30",0.0252115448811012,1.64145,TRUE,28
"geneComp_00060462","Porites_compressa_HIv1___TS.g18502.t1",NA,"control","t30",0.000250378344976083,1.6342,TRUE,30
"geneComp_00046323","Porites_compressa_HIv1___RNAseq.g29427.t1",NA,"control","t30",0.000752731008749669,1.6242,TRUE,33
"geneComp_00058977","Porites_compressa_HIv1___RNAseq.g9912.t1",NA,"control","t30",0.0320437992105198,1.61765,TRUE,35
"geneComp_00032193","Porites_compressa_HIv1___RNAseq.31623_t",NA,"control","t30",0.0163001422321001,1.6117,TRUE,36
"geneComp_00053428","Porites_compressa_HIv1___RNAseq.g39706.t1",NA,"control","t30",0.0313260093573132,1.58725,TRUE,39
